;BIP Version: 05.07.00
;Revision Number: 2.0
;Last Changed: Fri Mar 26 10:18:32 2004
;By: BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schall
;Package Version: 00000000

;ECU:MS 43.0 fuer M54 mit EWS 3
;ORIGIN:BMW TI-431 Schaller
;REVISION:2.00
;AUTHOR:BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schaller
;ECUCOMMENT:


TBEG "FORTTEXTE"
HEAD "ORT", "ORTTEXT", "UW_1", "UW_2", "UW_3", "UW_4"
LINE "0x00", "---", "0x00", "0x00", "0x00", "0x00"
LINE "0x01", "Zuendung Zyl. 2", "0x24", "0x1C", "0x62", "0x63"
LINE "0x02", "Zuendung Zyl. 4", "0x24", "0x1C", "0x66", "0x67"
LINE "0x03", "Zuendung Zyl. 6", "0x24", "0x1C", "0x6A", "0x6B"
LINE "0x05", "Einspritzventil Zylinder 2", "0x24", "0x1C", "0x4E", "0x16"
LINE "0x06", "Einspritzventil Zylinder 1", "0x24", "0x1C", "0x4E", "0x16"
LINE "0x08", "Luftmassenmesser", "0x24", "0x3C", "0x8D", "0x5D"
LINE "0x0A", "TKW", "0x24", "0x1C", "0x3D", "0x37"
LINE "0x0B", "Kuehlerausgangstemperatur", "0x24", "0x1C", "0x3D", "0x39"
LINE "0x0C", "TKW-MAX Plausibilitaet", "0x3D", "0x36", "0x3A", "0x3B"
LINE "0x0D", "Plausibilitaet Kuehlerauslasstemperatur", "0xB2", "0xB3", "0xB5", "0xB4"
LINE "0x0E", "TAL", "0x24", "0x1C", "0x36", "0x3E"
LINE "0x0F", "Plausibilitaet Abstellzeit", "0x36", "0x3A", "0x3B", "0xB1"
LINE "0x10", "Plausibilitaet Ansauglufttemperatur", "0xB0", "0xAF", "0xAE", "0x3D"
LINE "0x11", "Plausibilitaet Motorkuehlwassertemperatur", "0x3A", "0xB6", "0xAC", "0xAD"
LINE "0x12", "NW_A - Fehler", "0x24", "0x21", "0x40", "0x4E"
LINE "0x13", "VANOS-Magnetventil Auslass-NW", "0x4E", "0x21", "0x40", "0x3D"
LINE "0x15", "VANOS-Magnetventil Einlass-NW", "0x4E", "0x21", "0x40", "0x3D"
LINE "0x16", "Einspritzventil Zylinder 3", "0x24", "0x1C", "0x4E", "0x16"
LINE "0x17", "Einspritzventil Zylinder 6", "0x24", "0x1C", "0x4E", "0x17"
LINE "0x18", "Einspritzventil Zylinder 4", "0x24", "0x1C", "0x4E", "0x17"
LINE "0x19", "Lambdasondenheizung Bank 1", "0x24", "0x1C", "0x5B", "0x4E"
LINE "0x1B", "LLFS schliessende Spule elektrisch", "0x1E", "0x24", "0x28", "0x14"
LINE "0x1D", "Zuendung Zyl. 1", "0x24", "0x1C", "0x60", "0x61"
LINE "0x1E", "Zuendung Zyl. 3", "0x24", "0x1C", "0x64", "0x65"
LINE "0x1F", "Zuendung Zyl. 5", "0x24", "0x1C", "0x68", "0x69"
LINE "0x21", "Einspritzventil Zylinder 5", "0x24", "0x1C", "0x4E", "0x17"
LINE "0x23", "Relais Sekundaerluftpumpe", "0x24", "0x36", "0x3D", "0x4E"
LINE "0x24", "Hauptrelais", "0x4E", "0x6C", "0x36", "0x24"
LINE "0x25", "Schaltverzoegerung Hauptrelais", "0x4E", "0x6C", "0x36", "0x24"
LINE "0x26", "Kupplungsschalter defekt", "0x24", "0x36", "0x3D", "0x4E"
LINE "0x27", "BLS-BTS-Plausibilisierung", "0x24", "0x3D", "0x36", "0x4E"
LINE "0x2A", "MFL-redundante Codierung des Signals", "0x24", "0x4E", "0x5E", "0x36"
LINE "0x2B", "MFL-Wipptaster", "0x24", "0x4E", "0x5E", "0x36"
LINE "0x2D", "MFL-Toggle-Bit", "0x24", "0x4E", "0x5E", "0x36"
LINE "0x2F", "Momentenbegrenzung Sicherheitskonzept Ebene1", "0x24", "0x36", "0x47", "0x48"
LINE "0x30", "Monitoring Steuergeraete Selbsttest 1", "0x4A", "0x79", "0x7A", "0x4E"
LINE "0x31", "Monitoring ERR_TQI_AV_MON", "0x7B", "0x89", "0x8A", "0x8B"
LINE "0x32", "Monitoring ERR_TQI_N_MAX_MON", "0x7B", "0x8C", "0x8B", "0x7D"
LINE "0x33", "Monitoring ERR_TQI_N_MAX_NVMY_MON", "0x10", "0x11", "0x27", "0x26"
